ID,Structure Domain,Hierarchy Path,Org Level,Org Code,Organization / Unit,Name / Public Node,Exact Public Role,Status Class,Status As Of,AA Relationship,Specific Application Arsenal Relevance,Authority / Engagement Posture,Public Email,Public Phone,Confidence,Primary Source URL,Secondary Source URL,Source Date,Validation / Caveat
111,External acquisition chain,Department of the Navy > NAVWAR,Systems command,,NAVWAR,RADM Kurt J. Rothenhaus,"Commander, NAVWAR",Current,Since 2025-10,SYSCOM command / technical infrastructure,"Oversees the warfare-center enterprise supporting AA and brings direct historical PMW 160, ACS, and C2C24 knowledge.",Not the AA requirements sponsor or solicitation contracting officer.,,,A / High,https://www.navy.mil/Leadership/Flag-Officer-Biographies/Article/2236520/rear-admiral-j-kurt-rothenhaus/,,Bio updated 2025-11-17,
112,External program chain,PAE Mission Systems > Tactical Networks,Program office,PMW 160,Tactical Networks,CAPT Nicole K. Nigro,"Program Manager, PMW 160",Current,2026-08,Direct – program sponsor,Senior program owner for Tactical Networks/CANES and the PAS/ACS environment containing AA.,Program authority; procurement communications still go through NIWC Pacific RFP contacts.,,,A / High,https://www.linkedin.com/posts/pae-mission-systems_paemissionsystems-cybersecurity-zerotrust-activity-7490439563929247744-kYqM,https://www.dvidshub.net/image/8619315/pmw-160-change-command,2026-08 / 2024-08,
113,External program chain,PAE Mission Systems > Tactical Networks,Program office,PMW 160,Tactical Networks,Dave Arellano,"Deputy Program Manager, PMW 160",Dated / revalidate,2026 spring,Direct – program execution,"Deputy program authority across CANES, PAS, and other Tactical Networks portfolios.",Program execution; not an RFP contact.,,,B / Medium-high,https://www.linkedin.com/posts/dave-arellano-0b020575_im-happy-to-announce-that-im-starting-a-activity-7430779375911870464-wHmP,https://www.linkedin.com/in/dave-arellano-0b020575,2026 spring,Status detail: Current-likely; self-reported.
114,External program chain,PAE Mission Systems > Tactical Networks,Technical leadership,PMW 160 / NAVWAR 5.8,Tactical Networks,Rachel Bondi,"CTO / Technical Director, PAE Mission Systems Tactical Networks; NAVWAR 5.8 deputy",Dated / revalidate,2026,Direct – technical architecture,"Technical influence over afloat cloud, APIs, identity, zero trust, and portable software—the architecture AA deploys into.",Technical authority context; not an RFP contact.,,,B / Medium-high,https://www.linkedin.com/in/rachelbondi,https://ismg.events/summit/otsec-world-2026/,2026,Status detail: Current-likely.
115,External program chain,PMW 160 > CANES,Principal Assistant Program Manager,PMW 160,CANES,Alma Loe,CANES Principal Assistant Program Manager,Dated / revalidate,2025-06,Direct – host network sponsor,Owns the CANES host-network baseline on which ACS and AA operate.,Upstream program dependency; not an AA solicitation contact.,,,B / Medium-high,https://www.linkedin.com/posts/program-executive-office-command-control-communications-computers-and-intelligence_peoc4i-seabedtospace-teamappreciation-activity-7275238401975472128-o3DM,https://www.ticketsource.com/pmw-160/pmw-160-industry-day/e-beyzjd,2025-06,Status detail: Current-recent; post-PAE continuity unconfirmed.
116,External program chain,PMW 160 > Platform Application Services,Principal Assistant Program Manager,PMW 160 / PAS,Platform Application Services,Jason Samarin,PAS Principal Assistant Program Manager,Dated / revalidate,2025-06,Direct – closest public program sponsor,"Most relevant publicly named PMW 160 sponsor above ACS, Application Integration, and Application Arsenal.",Program sponsor context; not an RFP contact.,,,B / Medium,https://www.ticketsource.com/pmw-160/pmw-160-industry-day/e-beyzjd,,2025-06,Status detail: Current-recent; post-PAE continuity unconfirmed.
117,External program chain,PMW 160 > PAS > DevOps / ACS,Assistant Program Manager,PMW 160 / PAS,DevOps / Agile Core Services,Danny Parentis,DevOps / ACS Assistant Program Manager,Unverified,2025-05,Direct – probable ACS management,"If still assigned, likely the deepest upstream PMW 160 Government role governing ACS and AA service outcomes.",Do not engage or present as current without validation.,,,C / Low,https://nslab.cloud/,,"Secondary org chart, 2025-05",Status detail: Low-confidence / validate.
118,External program chain,PMW 160 > PAS > Application Integration,Assistant Program Manager,PMW 160 / PAS,Application Integration,Meena Naik,Application Integration Assistant Program Manager,Unverified,2025-05,Direct – application integration,Potentially governs the testing/integration seam feeding approved applications into AA.,Do not engage or present as current without validation.,,,C / Low,https://nslab.cloud/,,"Secondary org chart, 2025-05",Status detail: Low-confidence / validate.
119,External program chain,PMW 160 > PAS,Process lead,PMW 160 / PAS,Platform Application Services,Dustin Gaspard,PAS Process Lead,Unverified,2025-05,Direct – process influence,"May influence onboarding, workflow, and release processes across PAS/ACS/AA.",Do not engage or present as current without validation.,,,C / Low,https://nslab.cloud/,,"Secondary org chart, 2025-05",Status detail: Low-confidence / validate.
120,Enterprise policy overlay,Department of the Navy > CIO,Enterprise policy,,DON CIO,M. Barry Tanner,Department of the Navy Chief Information Officer,Current,2026-08-18,Enterprise IT policy,"Executive policy authority over Orion and enterprise DevSecOps standardization; overlay, not PMW 160 chain-of-command.",Not an AA RFP contact.,,,A / High,https://www.navy.mil/Press-Office/Press-Releases/display-pressreleases/Article/4576025/acting-secretary-of-the-navy-appoints-m-barry-tanner-as-chief-information-offic/,https://www.doncio.navy.mil/ContentView.aspx?id=20502,2026-08-18,
121,Enterprise policy overlay,Department of the Navy > CIO > CTO,Enterprise technical policy,,DON CTO,Justin Fanelli,Department of the Navy Chief Technology Officer,Current,2026,Enterprise technical policy,Public technical champion for Orion and DevSecOps consolidation; affects development/tooling interfaces but does not own afloat AA distribution.,Not an AA RFP contact.,,,A / High,https://www.doncio.navy.mil/ContentView.aspx?id=20505,https://fedgovtoday.com/innovation-in-govt/from-devsecops-sprawl-to-enterprise-scale-at-the-department-of-the-navy,2026,
122,NAVWAR fleet execution interface,NAVWAR > Fleet Readiness Directorate,Directorate leadership,,Fleet Readiness,Steven Crosson,"Deputy and Technical Director, NAVWAR Fleet Readiness Directorate as of October 2024",Dated / revalidate,2024-10-17,Fleet sustainment / adjacent,"Fleet readiness, training, and sustainment interface for ACS/AA-delivered capability.",Operational/technical influence; not an RFP contact.,,,A / High dated,https://www.dvidshub.net/news/483389/navwar-empowers-fleet-sailors-and-first-responders-with-custom-systems-training,,2024-10-17,Status detail: Dated role; revalidate.
123,Historical sponsor lineage,Legacy PEO C4I > PMW 160,Program office,PMW 160,Tactical Networks,CAPT Catherine “Katy” Boehme,Historical PMW 160 Program Manager,Historical,2021–2024-08,Historical – direct program authority,Program manager during the first AA deployment; explicitly described remote/automatic delivery.,Historical context only.,,,A / High historical,https://www.navy.mil/Press-Office/News-Stories/Article/2735561/navwar-deploys-the-navys-first-application-arsenal/,https://www.dvidshub.net/image/8619315/pmw-160-change-command,2021 / 2024-08,
124,Historical sponsor lineage,Legacy PMW 160 > Platform Application Services,Principal Assistant Program Manager,PMW 160 / PAS,Platform Application Services,Brian Miller,Historical PAS Principal Assistant Program Manager,Historical,2021,Historical – direct AA sponsor,Explicitly tied AA to the operations portion of Navy DevSecOps.,Historical context only.,,,A / High historical,https://www.navy.mil/Press-Office/News-Stories/Article/2735561/navwar-deploys-the-navys-first-application-arsenal/,,2021,
125,Historical sponsor lineage,Legacy PMW 160 > ACS / DevOps,Assistant Program Manager,PMW 160 / ACS,Agile Core Services / DevOps,Emily Nguyen,Historical ACS and DevOps Assistant Program Manager,Historical,2019,Historical – direct ACS execution,Oversaw ACS/DevOps while the Application Arsenal capability was being established.,Historical context only.,,,A / High historical,https://www.navy.mil/DesktopModules/ArticleCS/Print.aspx?Article=2240143&ModuleId=523&PortalId=1,,2019,
126,Historical sponsor lineage,Legacy OPNAV > CANES resource sponsorship,Resource sponsor,N2N6F4,CANES resource sponsorship,Jamie Thayer,Historical CANES Resource Sponsor,Historical,2018,Historical requirements sponsor,"Named sponsor during C2C24, CSA, RAISE, ACS, and AA institutionalization.",Historical context only.,,,A / High historical,https://www.navy.mil/Press-Office/News-Stories/Article/2248847/working-group-promotes-navy-application-modernization-and-accelerated-delivery/,,2018,
127,Historical sponsor lineage,Project Overmatch > DevSecOps,Technical lead,,Project Overmatch,Rick Jack,Historical Project Overmatch DevSecOps Lead,Historical,2021,Historical technical influence,Publicly called AA essential to OSA and rapid software fielding.,Historical; current status not established.,,,A / High historical,https://www.navy.mil/Press-Office/News-Stories/Article/2735561/navwar-deploys-the-navys-first-application-arsenal/,,2021,
128,Historical sponsor lineage,Legacy PEO Digital > Cloud,Program management,,Cloud Program,Travis Methvin,"Historical Cloud Program Manager, PEO Digital",Historical,2021,Historical cloud adjacency,"Managed the Naval Digital Marketplace gateway that provisioned OSA IL6; adjacent cloud authority, not AA owner.",Historical context only.,,,A / High historical,https://www.navy.mil/Press-Office/News-Stories/Article/2710817/navwar-launches-first-secret-level-devsecops-pipeline/,,2021,
129,AA chain & adjacent ecosystem,NIWC Pacific > Command & Control Department,Role mailbox,53,Command & Control Department,C2 Careers,Official Command and Control Department recruiting / workforce mailbox,Official channel,Accessed 2026-09-02,Technical ecosystem / indirect,"Department-level public channel for Code 53 workforce and capability context; useful for mapping the organization, but not an AA procurement route.",Functional information channel only; not solicitation authority.,C2Careers@us.navy.mil,,A / High,https://www.niwcpacific.navy.mil/About/Departments/Command-Control-C2/,,Accessed 2026-09-02,Added in augmentation pass. Role mailbox from the official C2 Department page; do not use for RFP questions.
130,NIWC PAC portfolio map,NIWC Pacific > Business Portfolios > Business and Force Support,Business portfolio,Portfolio; numeric code not public,Business and Force Support,Public node - no named portfolio lead identified,Business portfolio for business and force-support applications,Public gap,Accessed 2026-09-02,Application / cloud adjacency,"Public portfolio language covers business and force support applications, systems-of-systems testing of application software, cloud computing, virtualization, and computing environments.",Portfolio context only; not an AA RFP channel.,,,A / High for function; gap for person,https://www.niwcpacific.navy.mil/About/Business-Portfolios/,,Accessed 2026-09-02,Added in augmentation pass from official NIWC Pacific business-portfolio structure.
131,NIWC PAC portfolio map,NIWC Pacific > Business Portfolios > Decision Superiority,Business portfolio,Portfolio; numeric code not public,Decision Superiority,Public node - no named portfolio lead identified,Business portfolio for C2-related software and experimentation,Public gap,Accessed 2026-09-02,C2 software / direct-adjacent,"Public portfolio language covers C2-related software development, wargaming and experimentation, command-center design, tactical data links, and C2 system support.",Portfolio context only; not an AA RFP channel.,,,A / High for function; gap for person,https://www.niwcpacific.navy.mil/About/Business-Portfolios/,https://www.niwcpacific.navy.mil/About/Departments/Command-Control-C2/,Accessed 2026-09-02,Added in augmentation pass. Likely strongest public business-portfolio alignment for AA-style C2 application delivery.
132,NIWC PAC portfolio map,NIWC Pacific > Business Portfolios > Integrated Cyber Operations,Business portfolio,Portfolio; numeric code not public,Integrated Cyber Operations,Public node - no named portfolio lead identified,Business portfolio for cyber operations and security engineering,Public gap,Accessed 2026-09-02,Cyber / DevSecOps adjacency,"Relevant to secure software, cyber accreditation, risk management, cybersecurity architecture, computer-network defense, penetration testing, and offensive cyber tool development.",Portfolio context only; not an AA RFP channel.,,,A / High for function; gap for person,https://www.niwcpacific.navy.mil/About/Business-Portfolios/,https://www.niwcpacific.navy.mil/About/Departments/Cyber-S-T/,Accessed 2026-09-02,"Added in augmentation pass. Useful for mapping AA security/accreditation interfaces, not ownership."
133,NIWC PAC portfolio map,NIWC Pacific > Business Portfolios > Transport and Computing Infrastructure,Business portfolio,Portfolio; numeric code not public,Transport and Computing Infrastructure,Public node - no named portfolio lead identified,Network and computing infrastructure portfolio,Public gap,Accessed 2026-09-02,Hosting / infrastructure adjacency,"Covers network and computing IPTs, common computing environments, data transport, servers, storage, tactical shore systems, and military network environments that support deployed applications.",Portfolio context only; not an AA RFP channel.,,,A / High for function; gap for person,https://www.niwcpacific.navy.mil/About/Business-Portfolios/,https://www.niwcpacific.navy.mil/About/Departments/Communications-and-Networks/,Accessed 2026-09-02,Added in augmentation pass. Supports AA/OSA platform-dependency mapping.
134,NIWC PAC portfolio map,"NIWC Pacific > Business Portfolios > Product, Installation and In-Service Support",Business portfolio,Portfolio; numeric code not public,"Product, Installation and In-Service Support",Public node - no named portfolio lead identified,"Business portfolio for production, installation, ISEA, help desk, training, and sustainment",Public gap,Accessed 2026-09-02,Fielding / sustainment adjacency,"Relevant to transition from app/software builds into full-rate production, operations, maintenance, C4I help desk, training, logistics, installation design, and in-service support.",Portfolio context only; not an AA RFP channel.,,,A / High for function; gap for person,https://www.niwcpacific.navy.mil/About/Business-Portfolios/,https://www.niwcpacific.navy.mil/About/Departments/Fleet-Installation-Engineering-and-Logistics/,Accessed 2026-09-02,Added in augmentation pass. Useful downstream deployment/sustainment interface for AA.
135,NIWC PAC portfolio map,"NIWC Pacific > Business Portfolios > Portfolio Coordinator, Indo-Pacific",Portfolio coordinator,Code H,"Portfolio Coordinator, Indo-Pacific",Public node - named Code H lead not identified,Portfolio coordinator / Code H,Public gap,Accessed 2026-09-02,Pacific AOR / C4I adjacency,Official portfolio page says Code H manages projects across all business portfolios for the Pacific area of operations and has a C4I/MILCON subportfolio.,Regional portfolio context only; not an AA RFP channel.,,,A / High for code/function; gap for person,https://www.niwcpacific.navy.mil/About/Business-Portfolios/,,Accessed 2026-09-02,Added in augmentation pass. This was the only additional explicit public code number found in the portfolio research.
136,AA chain & adjacent ecosystem,Code 53200 > Navy Digital Ecosystem > Overmatch Software Armory > OSA Tools,OSA component,53200 functional; child code not public,OSA Tools,Public gap - current OSA Tools lead not identified,Current OSA Tools Government lead,Public gap,2026-09-02,Direct - technical ecosystem,"OSA Tools is an official Overmatch Software Armory component alongside ACS, Collaborative Staging Environments, and Application Arsenal.",Do not infer the current lead from historical OSA Tools personnel.,,,A / High for function; gap for person,https://www.niwcpacific.navy.mil/Technology/Overmatch-Software-Armory/,https://www.dvidshub.net/news/401910/navwar-launches-first-secret-level-devsecops-pipeline,Accessed 2026-09-02 / 2021-07-28,Added in augmentation pass. Historical Matt ONeil row remains separate and should not be treated as current.
137,AA chain & adjacent ecosystem,Code 53200 > Navy Digital Ecosystem > Overmatch Software Armory > Agile Core Services,OSA component,53200 functional; child code not public,Agile Core Services,Public gap - current ACS program / product lead not identified,Current ACS Government lead / product owner,Public gap,2026-09-02,Direct - technical ecosystem,ACS is an official OSA component and a direct fleet/application services dependency for Application Arsenal delivery.,Use the published OSA mailbox or solicitation channels; do not infer a current manager from dated SME references.,,,A / High for function; gap for person,https://www.niwcpacific.navy.mil/Technology/Overmatch-Software-Armory/,https://www.dvidshub.net/news/483389/navwar-empowers-fleet-sailors-and-first-responders-with-custom-systems-training,Accessed 2026-09-02 / 2024-10-17,"Added in augmentation pass. Johnathan Gorbea is retained as a dated ACS SME, not a current ACS manager."
138,AA chain & adjacent ecosystem,Code 53200 > Navy Digital Ecosystem > Overmatch Software Armory > Collaborative Staging Environments,OSA component,53200 functional; child code not public,Collaborative Staging Environments,Public gap - current CSE lead not identified,Current Collaborative Staging Environments Government lead,Public gap,2026-09-02,Direct - technical ecosystem,Collaborative Staging Environments are an official OSA component supporting staging and transition of applications toward fleet environments and AA.,Do not assign a named lead without a fresh official source.,,,A / High for function; gap for person,https://www.niwcpacific.navy.mil/Technology/Overmatch-Software-Armory/,,Accessed 2026-09-02,Added in augmentation pass. Function is current; individual lead remains unresolved in public sources.
139,AA chain & adjacent ecosystem,Code 53200 > Navy Digital Ecosystem > Overmatch Software Armory > Continuous cyber accreditation / RAISE,OSA accreditation function,53200 functional; child code not public,Rapid Assess and Incorporate Software Engineering (RAISE),Public gap - current RAISE / accreditation lead not identified,Current Government accreditation / ATO lead for OSA or AA path,Public gap,2026-09-02,Direct - delivery governance,"OSA public material ties continuous cyber accreditation and RAISE to reduced ATO timelines, making this a material AA delivery role.","Treat as a needed role node, not an engagement channel.",,,A / High for function; gap for person,https://www.niwcpacific.navy.mil/Technology/Overmatch-Software-Armory/,https://www.navy.mil/Press-Office/News-Stories/Article/2248847/working-group-promotes-navy-application-modernization-and-accelerated-delivery/,Accessed 2026-09-02 / 2018,Added in augmentation pass. No public source found naming a current RAISE/accreditation lead.
140,NIWC PAC application UX interface,NIWC Pacific > NAVAL UX > User-Centered Design & Engineering,Branch / design engineering function,Numeric code not public,User-Centered Design & Engineering,Jason H. Wong,"Branch Head, User-Centered Design & Engineering",Dated / revalidate,Accessed 2026-09-02,Application UX / adjacent,"Deep public branch-level UX/design node relevant to AA app usability, product design, and human-centered software delivery.",Technical/community interface only; not AA ownership or RFP authority.,,,A / High for public role; AA specificity medium,https://www.niwcpacific.navy.mil/Connect/Events/NAVAL-UX/,,Accessed 2026-09-02,Added in augmentation pass from the official NIWC Pacific NAVAL UX page.
141,NIWC PAC application UX interface,NIWC Pacific > NAVAL UX > Cognitive and Decision Science,Senior technologist domain,Numeric code not public,Cognitive and Decision Science,Jamie Lukos,Senior Technologist for Cognitive and Decision Science,Dated / revalidate,Accessed 2026-09-02,C2 decision workflows / adjacent,"Relevant to decision-support application design, human factors, and C2 workflows that may shape AA-delivered applications.",Technical/community interface only; not AA ownership or RFP authority.,,,A / High for public role; AA specificity medium,https://www.niwcpacific.navy.mil/Connect/Events/NAVAL-UX/,,Accessed 2026-09-02,Added in augmentation pass from the official NIWC Pacific NAVAL UX page.
142,NAVWAR industry interface,NAVWAR > Office of Small Business Programs,Advisory office,,Office of Small Business Programs,Kimberly Reidy,"Director, Office of Small Business Programs, NAVWAR",Dated / revalidate,2026-05-20,Industry interface / indirect,Upstream NAVWAR small-business and industry-engagement leader present in the same public Code 532 industry event as John Barrie.,General industry interface; not an AA RFP contact unless the solicitation team directs otherwise.,,,A / High for event role; currentness revalidate,https://www.ndia-sd.org/event/sb-committee-meeting-may-20/,,2026-05-20,"Added in augmentation pass. Source is an industry-event agenda, not an official NAVWAR staff directory."
143,NAVWAR industry interface,NAVWAR > Office of Small Business Programs,Advisory office / staff,,Office of Small Business Programs,Caleb Foster,"Small Business Programs, NAVWAR",Dated / revalidate,2026-05-20,Industry interface / indirect,Public NAVWAR small-business programs contact appearing in the same Code 532 industry-event context.,General small-business interface; not an AA RFP contact unless separately named in solicitation materials.,,,B / Medium-high for event role; title specificity limited,https://www.ndia-sd.org/event/sb-committee-meeting-may-20/,,2026-05-20,Added in augmentation pass. Event agenda gives organization/function but not a detailed billet title.
144,External rapid capability overlay,Department of the Navy > Rapid Capabilities Office,Rapid capability interface,,DON Rapid Capabilities Office,Jared Kaib,Public POC for DON RCO overview in NIWC Pacific industry-brief deck,Dated / revalidate,2026-05-07,Rapid acquisition / adjacent,Potentially relevant to rapid experimentation or transition paths around OSA/AA-adjacent software capabilities; no direct AA ownership found.,External overlay only; not NIWC Pacific reporting chain and not AA RFP authority.,,,B / Medium-high,https://www.ndia-sd.org/wp-content/uploads/2026/05/NDIA-7-May-2026-Combined-video-embedded.pdf,,2026-05-07,Added in augmentation pass. Included as adjacent public interface because it appears in the NIWC Pacific May 2026 industry day deck.
145,NIWC PAC public affairs interface,NIWC Pacific > Public Affairs / NAML media interface,Public affairs director,,Public Affairs,Darian Wilson,Corporate Communications and Public Affairs Director; media route for NIWC Pacific or NAML SME interviews,Dated / revalidate,2026-09,Access route / indirect,Useful public route for requesting NIWC Pacific or NAML subject-matter interviews; not a technical AA POC.,Public affairs gateway only; not procurement or technical authority.,,,B / Medium,https://www.dvidshub.net/news/559471/niwc-pacific-afcea-international-san-diego-host-naml-2026-advance-machine-learning-warfighter,https://www.niwcpacific.navy.mil/Connect/Events/Naval-Applications-of-Machine-Learning-NAML/,2026-09,"Added in augmentation pass because public source names a route for SME interviews, not because of direct AA ownership."
